Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1861,0.0,0.501,0.0,115.75052,115.75052,99.0
3457,2.2,0.503,7.4,115.69955999999999,117.89956,101.2
5194,4.9,0.506,18.2,115.62312,120.52312,103.9
6973,7.1,0.511,29.2,115.49571999999999,122.59571999999999,106.1
8651,9.3,0.516,41.4,115.36832,124.66832,108.3
10404,12.0,0.525,58.2,115.139,127.139,111.0
12042,14.2,0.533,73.9,114.93516,129.13515999999998,113.2
13820,16.8,0.543,93.3,114.68036,131.48036,115.8
15377,19.1,0.542,110.0,114.70584,133.80584,118.1
17113,21.4,0.542,125.9,114.70584,136.10584,120.4
19087,24.1,0.543,147.3,114.68036,138.78036,123.1
20747,26.5,0.542,166.5,114.70584,141.20584,125.5
22824,28.7,0.543,184.6,114.68036,143.38036,127.7
25019,26.4,0.519,151.7,115.29187999999999,141.69188,125.4
26673,23.9,0.5,124.0,115.776,139.676,122.9
28672,21.4,0.503,107.0,115.69955999999999,137.09956,120.4
29826,19.3,0.498,91.1,115.82696,135.12696,118.3
32145,16.6,0.5,75.7,115.776,132.376,115.6
33882,14.2,0.501,61.3,115.75052,129.95051999999998,113.2
35696,11.9,0.501,47.7,115.75052,127.65052,110.9
37474,9.4,0.501,34.3,115.75052,125.15052,108.4
39329,7.1,0.503,21.8,115.69955999999999,122.79955999999999,106.1
40988,4.7,0.501,10.7,115.75052,120.45052,103.7
42843,2.2,0.501,2.9,115.75052,117.95052,101.2
50166,-0.1,0.501,0.0,115.75052,115.65052,98.9
