Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1386,0.0,0.8,0.0,108.13199999999998,108.13199999999998,108.57
4579,5.1,0.802,17.2,108.08103999999997,113.18103999999997,113.66999999999999
6078,7.4,0.806,31.7,107.97911999999998,115.37911999999999,115.97
7677,9.9,0.809,48.3,107.90267999999998,117.80267999999998,118.47
9251,12.3,0.814,68.0,107.77527999999998,120.07527999999998,120.86999999999999
11011,14.6,0.819,87.3,107.64787999999999,122.24787999999998,123.16999999999999
12527,17.0,0.828,109.6,107.41855999999999,124.41855999999999,125.57
14304,19.3,0.833,132.3,107.29115999999998,126.59115999999997,127.86999999999999
15840,22.0,0.835,160.3,107.24019999999999,129.2402,130.57
17618,24.6,0.834,185.6,107.26567999999997,131.86567999999997,133.17
19174,27.1,0.835,213.0,107.24019999999999,134.34019999999998,135.67
21205,29.1,0.833,233.1,107.29115999999998,136.39115999999999,137.67
22765,26.6,0.807,194.0,107.95363999999998,134.55363999999997,135.17
24544,23.9,0.801,163.5,108.10651999999997,132.00651999999997,132.47
27740,19.1,0.801,116.9,108.10651999999997,127.20651999999998,127.66999999999999
29233,17.0,0.801,97.3,108.10651999999997,125.10651999999997,125.57
30730,14.4,0.8,74.8,108.13199999999998,122.53199999999998,122.97
32211,12.3,0.801,56.6,108.10651999999997,120.40651999999997,120.86999999999999
33907,9.7,0.802,36.2,108.08103999999997,117.78103999999998,118.27
35422,7.7,0.8,21.3,108.13199999999998,115.83199999999998,116.27
37261,4.9,0.801,6.7,108.10651999999997,113.00651999999998,113.47
38977,2.6,0.801,1.1,108.10651999999997,110.70651999999997,111.16999999999999
43548,0.1,0.8,0.0,108.13199999999998,108.23199999999997,108.66999999999999
