Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1972,0.0,0.797,0.0,152.91458000000003,152.91458000000003,140.88
3767,2.3,0.798,1.1,152.88172000000003,155.18172000000004,143.18
5466,4.8,0.798,4.0,152.88172000000003,157.68172000000004,145.68
7363,7.2,0.798,10.4,152.88172000000003,160.08172000000002,148.07999999999998
10716,11.9,0.797,35.1,152.91458000000003,164.81458000000003,152.78
12134,13.9,0.798,49.1,152.88172000000003,166.78172000000004,154.78
14157,16.2,0.798,66.5,152.88172000000003,169.08172000000002,157.07999999999998
17343,21.7,0.801,113.2,152.78314000000003,174.48314000000002,162.57999999999998
18901,24.2,0.802,136.4,152.75028000000003,176.95028000000002,165.07999999999998
20657,26.7,0.804,160.6,152.68456000000003,179.38456000000002,167.57999999999998
22254,29.0,0.806,182.2,152.61884000000003,181.61884000000003,169.88
24108,31.6,0.808,207.8,152.55312000000004,184.15312000000003,172.48
25724,33.8,0.812,230.5,152.42168000000004,186.22168000000005,174.68
27424,36.4,0.815,258.2,152.3231,188.72310000000002,177.28
29959,38.6,0.815,280.4,152.3231,190.9231,179.48
31875,36.5,0.804,252.5,152.68456000000003,189.18456000000003,177.38
33442,33.7,0.797,220.7,152.91458000000003,186.61458000000005,174.57999999999998
35141,31.5,0.798,198.3,152.88172000000003,184.38172000000003,172.38
36644,28.8,0.797,170.4,152.91458000000003,181.71458000000004,169.68
38282,26.6,0.797,147.7,152.91458000000003,179.51458000000002,167.48
39817,24.1,0.797,123.5,152.91458000000003,177.01458000000002,164.98
41477,21.7,0.797,100.4,152.91458000000003,174.61458000000002,162.57999999999998
42785,19.2,0.796,76.9,152.94744000000003,172.14744000000002,160.07999999999998
44650,17.1,0.797,58.6,152.91458000000003,170.01458000000002,157.98
46466,14.9,0.797,39.9,152.91458000000003,167.81458000000003,155.78
48181,11.9,0.797,18.0,152.91458000000003,164.81458000000003,152.78
51356,7.3,0.797,2.7,152.91458000000003,160.21458000000004,148.18
52949,4.7,0.797,0.7,152.91458000000003,157.61458000000002,145.57999999999998
54564,2.1,0.797,0.3,152.91458000000003,155.01458000000002,142.98
59539,-0.1,0.798,0.1,152.88172000000003,152.78172000000004,140.78
