Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2056,0.0,0.698,0.0,139.25328,139.25328,129.9
3738,2.5,0.699,5.0,139.21663999999998,141.71663999999998,132.4
5750,5.2,0.701,14.1,139.14336,144.34336,135.1
7590,7.4,0.703,23.4,139.07008,146.47008,137.3
9523,9.8,0.707,35.5,138.92352,148.72352,139.70000000000002
11381,12.3,0.712,49.2,138.74032,151.04032,142.20000000000002
13096,14.7,0.718,63.4,138.52048,153.22047999999998,144.6
15076,16.9,0.721,77.2,138.41056,155.31056,146.8
17046,19.8,0.732,96.6,138.00752,157.80752,149.70000000000002
18748,22.2,0.739,112.9,137.75104,159.95103999999998,152.1
20662,24.6,0.737,128.5,137.82432,162.42432,154.5
22058,27.3,0.74,147.8,137.7144,165.01440000000002,157.20000000000002
24636,29.8,0.736,162.8,137.86096,167.66096000000002,159.70000000000002
26355,31.7,0.737,176.2,137.82432,169.52432,161.6
28051,34.3,0.737,195.3,137.82432,172.12432,164.2
29896,36.5,0.736,211.2,137.86096,174.36096,166.4
33020,39.5,0.736,232.9,137.86096,177.36096,169.4
34856,36.9,0.714,201.9,138.66704,175.56704,166.8
36755,34.4,0.698,178.1,139.25328,173.65328,164.3
38764,31.8,0.698,160.1,139.25328,171.05328,161.70000000000002
40727,29.5,0.698,145.2,139.25328,168.75328,159.4
42480,26.9,0.698,127.9,139.25328,166.15328,156.8
44711,24.6,0.698,113.5,139.25328,163.85327999999998,154.5
46869,21.9,0.698,97.0,139.25328,161.15328,151.8
48663,19.5,0.698,82.7,139.25328,158.75328,149.4
50426,16.9,0.697,67.4,139.28992,156.18992,146.8
52455,14.8,0.697,55.8,139.28992,154.08992,144.70000000000002
54401,12.3,0.697,42.0,139.28992,151.58992,142.20000000000002
56351,9.9,0.697,29.2,139.28992,149.18992,139.8
58271,7.1,0.697,15.6,139.28992,146.38992,137.0
60228,4.9,0.698,7.1,139.25328,144.15328,134.8
62222,2.2,0.697,1.4,139.28992,141.48991999999998,132.1
66696,0.0,0.698,0.1,139.25328,139.25328,129.9
