Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2155,0.0,0.399,0.0,118.34948,118.34948,118.32
3654,1.9,0.401,4.5,118.29852,120.19852,120.22
5517,4.8,0.405,12.2,118.1966,122.9966,123.11999999999999
7226,7.5,0.41,22.5,118.0692,125.5692,125.82
8901,9.7,0.416,33.3,117.91632,127.61632,128.01999999999998
10462,12.1,0.422,45.9,117.76344,129.86344,130.42
12257,14.7,0.432,61.7,117.50864,132.20864,133.01999999999998
13896,17.2,0.442,78.8,117.25384,134.45383999999999,135.51999999999998
15387,19.7,0.44,93.4,117.3048,137.0048,138.01999999999998
16887,22.1,0.442,109.0,117.25384,139.35384,140.42
18702,24.5,0.442,124.7,117.25384,141.75384,142.82
20636,27.1,0.44,143.4,117.3048,144.4048,145.42
22615,29.2,0.44,160.3,117.3048,146.5048,147.51999999999998
24391,26.8,0.417,125.2,117.89084,144.69084,145.12
26329,24.2,0.399,98.3,118.34948,142.54948,142.51999999999998
27809,21.8,0.399,83.6,118.34948,140.14948,140.12
29545,19.4,0.399,70.4,118.34948,137.74948,137.72
31238,16.7,0.399,56.6,118.34948,135.04948,135.01999999999998
32954,14.6,0.399,46.2,118.34948,132.94948,132.92
34556,11.7,0.399,32.5,118.34948,130.04948,130.01999999999998
36169,9.6,0.399,23.2,118.34948,127.94948,127.91999999999999
37718,6.9,0.399,12.5,118.34948,125.24948,125.22
39404,4.6,0.399,5.4,118.34948,122.94948,122.91999999999999
40879,2.0,0.399,0.4,118.34948,120.34948,120.32
45794,-0.2,0.4,2.1,118.324,118.124,118.11999999999999
