Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2093,0.0,0.797,0.0,135.62592,135.62592,130.23
3874,2.3,0.797,2.1,135.62592,137.92592000000002,132.53
5908,4.9,0.798,6.6,135.58928,140.48928,135.13
7807,7.4,0.798,13.7,135.58928,142.98928,137.63
9722,10.1,0.801,25.4,135.47935999999999,145.57935999999998,140.32999999999998
11619,12.2,0.803,36.4,135.40608,147.60608,142.42999999999998
13587,15.1,0.808,53.3,135.22288,150.32288,145.32999999999998
15232,17.1,0.812,66.7,135.07632,152.17632,147.32999999999998
16968,19.6,0.819,83.6,134.81984,154.41984,149.82999999999998
20901,24.7,0.829,119.7,134.45344,159.15344,154.92999999999998
22772,27.0,0.83,136.2,134.4168,161.4168,157.23
24792,29.7,0.829,155.3,134.45344,164.15344,159.92999999999998
26610,31.7,0.831,170.2,134.38016,166.08015999999998,161.92999999999998
29893,34.6,0.828,190.4,134.49008,169.09008,164.82999999999998
31640,36.4,0.829,205.7,134.45344,170.85344,166.63
34294,39.4,0.829,228.9,134.45344,173.85344,169.63
36146,36.4,0.807,195.5,135.25952,171.65952000000001,166.63
37985,34.4,0.796,176.7,135.66255999999998,170.06256,164.63
39763,31.7,0.797,156.9,135.62592,167.32592,161.92999999999998
41499,29.5,0.797,140.5,135.62592,165.12592,159.73
43378,26.8,0.797,121.8,135.62592,162.42592000000002,157.03
45075,24.6,0.796,106.5,135.66255999999998,160.26255999999998,154.82999999999998
46958,22.2,0.796,90.3,135.66255999999998,157.86255999999997,152.42999999999998
48704,19.8,0.797,74.0,135.62592,155.42592000000002,150.03
50603,17.1,0.797,57.4,135.62592,152.72592,147.32999999999998
52392,14.8,0.797,42.9,135.62592,150.42592000000002,145.03
54097,12.2,0.797,27.8,135.62592,147.82592,142.42999999999998
55929,10.1,0.797,16.5,135.62592,145.72592,140.32999999999998
57627,7.6,0.796,6.9,135.66255999999998,143.26255999999998,137.82999999999998
59566,5.0,0.796,2.2,135.66255999999998,140.66255999999998,135.23
61397,2.4,0.797,0.1,135.62592,138.02592,132.63
66053,0.1,0.797,0.0,135.62592,135.72592,130.32999999999998
