Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
3541,0.0,0.504,0.0,187.36704,187.36704,186.63
5716,3.3,0.508,11.5,187.20808,190.50808,189.93
10069,8.7,0.515,38.8,186.9299,195.6299,195.32999999999998
13081,11.1,0.52,53.6,186.7312,197.8312,197.73
15596,13.9,0.526,73.8,186.49276,200.39276,200.53
17673,16.1,0.532,90.7,186.25432,202.35432,202.73
20008,18.2,0.537,107.8,186.05562,204.25562,204.82999999999998
22143,20.6,0.543,126.6,185.81718,206.41718,207.23
24440,23.5,0.542,147.6,185.85692,209.35692,210.13
26767,25.6,0.543,163.1,185.81718,211.41718,212.23
28726,28.0,0.543,181.9,185.81718,213.81718,214.63
30943,30.7,0.543,204.1,185.81718,216.51718,217.32999999999998
32905,33.4,0.544,227.1,185.77744,219.17744000000002,220.03
35279,35.7,0.543,245.4,185.81718,221.51718,222.32999999999998
37281,37.8,0.543,264.6,185.81718,223.61718000000002,224.43
39269,39.9,0.543,284.1,185.81718,225.71718,226.53
41968,42.7,0.542,309.3,185.85692,228.55692,229.32999999999998
45512,45.4,0.542,335.5,185.85692,231.25692,232.03
47890,42.9,0.517,284.2,186.85042,229.75042000000002,229.53
50109,40.0,0.505,247.1,187.3273,227.3273,226.63
52323,37.6,0.504,225.7,187.36704,224.96704,224.23
54239,35.4,0.504,206.8,187.36704,222.76704,222.03
56340,33.1,0.504,188.5,187.36704,220.46704,219.73
58210,30.4,0.504,167.0,187.36704,217.76704,217.03
60510,28.1,0.504,150.4,187.36704,215.46704,214.73
62525,25.2,0.505,129.1,187.3273,212.5273,211.82999999999998
64483,23.2,0.504,115.0,187.36704,210.56704,209.82999999999998
66380,20.4,0.504,96.0,187.36704,207.76704,207.03
68253,18.2,0.504,81.7,187.36704,205.56704,204.82999999999998
70090,15.7,0.504,65.4,187.36704,203.06704,202.32999999999998
72000,13.1,0.504,49.4,187.36704,200.46704,199.73
75818,8.3,0.504,22.8,187.36704,195.66704000000001,194.93
77757,6.1,0.504,13.0,187.36704,193.46704,192.73
79745,3.4,0.504,4.3,187.36704,190.76704,190.03
83307,0.2,0.505,0.5,187.3273,187.5273,186.82999999999998
84662,0.1,0.505,0.2,187.3273,187.4273,186.73
