Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2502,0.0,0.797,0.0,135.62592,135.62592,135.23
6243,4.9,0.797,6.6,135.62592,140.52592,140.13
8071,7.3,0.798,13.5,135.58928,142.88928,142.53
10051,10.0,0.8,24.8,135.516,145.516,145.23
11892,11.9,0.803,34.5,135.40608,147.30608,147.13
13809,14.7,0.808,50.7,135.22288,149.92288,149.92999999999998
16302,17.1,0.813,66.1,135.03968,152.13968,152.32999999999998
17779,19.8,0.819,84.2,134.81984,154.61984,155.03
19636,22.2,0.825,101.4,134.6,156.79999999999998,157.42999999999998
21587,24.5,0.83,118.2,134.4168,158.9168,159.73
23388,26.6,0.83,133.3,134.4168,161.0168,161.82999999999998
25221,29.2,0.83,152.3,134.4168,163.61679999999998,164.42999999999998
27243,32.0,0.83,172.9,134.4168,166.4168,167.23
30196,34.6,0.829,192.4,134.45344,169.05344,169.82999999999998
32191,37.3,0.83,214.3,134.4168,171.71679999999998,172.52999999999997
34846,39.5,0.83,231.0,134.4168,173.9168,174.73
37339,36.8,0.808,200.3,135.22288,172.02288,172.02999999999997
39220,34.4,0.797,177.2,135.62592,170.02592,169.63
41275,31.9,0.797,159.0,135.62592,167.52592,167.13
43563,29.3,0.797,139.7,135.62592,164.92592000000002,164.53
45686,27.0,0.797,123.7,135.62592,162.62592,162.23
47820,24.5,0.797,106.1,135.62592,160.12592,159.73
49417,22.1,0.796,89.6,135.66255999999998,157.76255999999998,157.32999999999998
49851,22.0,0.797,89.6,135.62592,157.62592,157.23
51715,19.5,0.797,73.3,135.62592,155.12592,154.73
53489,17.1,0.796,58.1,135.66255999999998,152.76255999999998,152.32999999999998
55645,14.7,0.796,42.7,135.66255999999998,150.36255999999997,149.92999999999998
57657,12.2,0.796,28.5,135.66255999999998,147.86255999999997,147.42999999999998
59757,9.8,0.797,15.7,135.62592,145.42592000000002,145.03
61635,7.5,0.796,7.3,135.66255999999998,143.16255999999998,142.73
63588,4.9,0.796,2.8,135.66255999999998,140.56256,140.13
65520,2.3,0.797,1.0,135.62592,137.92592000000002,137.53
70756,0.0,0.797,0.1,135.62592,135.62592,135.23
